# NOTICE: SYNTHETIC RECONSTRUCTION FOR BENCHMARKING (MODIFIED SAITO-VOIGHT PROGRESSIVE FAILURE CURVE) — NOT REAL FIELD DATA
timestep_hours,displacement_mm,velocity_mm_h,acceleration_mm_h2,anomaly_score,correlation_strength,confidence,labeled_phase
1,1.2,0.05,0.00,0.30,0.25,0.40,Primary_Creep
2,1.25,0.05,0.00,0.31,0.26,0.41,Primary_Creep
3,1.31,0.06,0.00,0.32,0.28,0.42,Primary_Creep
4,1.38,0.07,0.01,0.33,0.30,0.43,Primary_Creep
5,1.45,0.07,0.00,0.34,0.31,0.44,Primary_Creep
6,1.53,0.08,0.01,0.35,0.32,0.45,Primary_Creep
7,1.62,0.09,0.01,0.36,0.34,0.46,Primary_Creep
8,1.72,0.10,0.01,0.38,0.35,0.47,Primary_Creep
9,1.83,0.11,0.01,0.40,0.36,0.48,Primary_Creep
10,1.95,0.12,0.01,0.42,0.38,0.50,Primary_Creep
11,2.08,0.13,0.01,0.44,0.40,0.52,Primary_Creep
12,2.22,0.14,0.01,0.46,0.42,0.53,Primary_Creep
13,2.37,0.15,0.01,0.48,0.44,0.55,Primary_Creep
14,2.54,0.17,0.02,0.50,0.46,0.56,Primary_Creep
15,2.72,0.18,0.01,0.52,0.48,0.58,Primary_Creep
16,2.92,0.20,0.02,0.54,0.50,0.60,Primary_Creep
17,3.14,0.22,0.02,0.56,0.52,0.62,Primary_Creep
18,3.38,0.24,0.02,0.58,0.54,0.64,Primary_Creep
19,3.64,0.26,0.02,0.60,0.56,0.65,Secondary_Cracking
20,3.92,0.28,0.02,0.62,0.58,0.67,Secondary_Cracking
21,4.23,0.31,0.03,0.65,0.60,0.69,Secondary_Cracking
22,4.57,0.34,0.03,0.67,0.63,0.71,Secondary_Cracking
23,4.94,0.37,0.03,0.69,0.66,0.73,Secondary_Cracking
24,5.35,0.41,0.04,0.72,0.69,0.75,Secondary_Cracking
25,5.80,0.45,0.04,0.74,0.72,0.77,Secondary_Cracking
26,6.30,0.50,0.05,0.76,0.74,0.78,Secondary_Cracking
27,6.85,0.55,0.05,0.77,0.76,0.80,Secondary_Cracking
28,7.46,0.61,0.06,0.79,0.78,0.81,Secondary_Cracking
29,8.14,0.68,0.07,0.80,0.80,0.82,Secondary_Cracking
30,8.90,0.76,0.08,0.82,0.82,0.83,Secondary_Cracking
31,9.75,0.85,0.09,0.83,0.83,0.84,Secondary_Cracking
32,10.71,0.96,0.11,0.84,0.85,0.85,Secondary_Cracking
33,11.80,1.09,0.13,0.86,0.86,0.86,Tertiary_Acceleration
34,13.04,1.24,0.15,0.87,0.88,0.87,Tertiary_Acceleration
35,14.46,1.42,0.18,0.89,0.89,0.88,Tertiary_Acceleration
36,16.10,1.64,0.22,0.90,0.90,0.89,Tertiary_Acceleration
37,18.01,1.91,0.27,0.92,0.91,0.91,Tertiary_Acceleration
38,20.26,2.25,0.34,0.93,0.93,0.92,Tertiary_Acceleration
39,22.96,2.70,0.45,0.95,0.94,0.94,Critical_Escalation
40,26.26,3.30,0.60,0.96,0.95,0.95,Critical_Escalation
41,30.36,4.10,0.80,0.97,0.96,0.96,Critical_Escalation
42,35.56,5.20,1.10,0.98,0.97,0.97,Critical_Escalation
43,42.26,6.70,1.50,0.99,0.98,0.98,Critical_Escalation
44,51.06,8.80,2.10,0.99,0.99,0.98,Critical_Escalation
45,62.86,11.80,3.00,1.00,0.99,0.99,Critical_Escalation
46,79.06,16.20,4.40,1.00,1.00,0.99,Imminent_Collapse
47,102.56,23.50,7.30,1.00,1.00,1.00,Imminent_Collapse
48,140.06,37.50,14.00,1.00,1.00,1.00,Ground_Failure_Point
