model,threshold,raw_threshold,precision,recall,f1_score,false_positive_rate,false_negative_rate,tp,fp,fn,tn
Node-Tier (Prob),0.01,0.5516782206296921,0.4153678869155491,1.0,0.586939820327947,0.9981435643564357,0.0,1146,1613,0,3
Node-Tier (Prob),0.0198989898989899,0.5561609809988677,0.4159709618874773,1.0,0.5875416555707056,0.9956683168316832,0.0,1146,1609,0,7
Node-Tier (Prob),0.029797979797979796,0.5606437413680433,0.4179431072210066,1.0,0.5895061724237588,0.9876237623762376,0.0,1146,1596,0,20
Node-Tier (Prob),0.039696969696969696,0.5651265017372189,0.42070484581497797,1.0,0.5922480615986346,0.9764851485148515,0.0,1146,1578,0,38
Node-Tier (Prob),0.049595959595959596,0.5696092621063945,0.42491657397107896,1.0,0.5964090550068917,0.9597772277227723,0.0,1146,1551,0,65
Node-Tier (Prob),0.059494949494949496,0.5740920224755701,0.4331065759637188,1.0,0.604430379325073,0.9282178217821783,0.0,1146,1500,0,116
Node-Tier (Prob),0.06939393939393938,0.5785747828447457,0.44332688588007735,1.0,0.6143125163259184,0.8904702970297029,0.0,1146,1439,0,177
Node-Tier (Prob),0.07929292929292929,0.5830575432139213,0.4531435349940688,1.0,0.6236734689585658,0.8558168316831684,0.0,1146,1383,0,233
Node-Tier (Prob),0.08919191919191918,0.587540303583097,0.49311531841652323,1.0,0.6605187315460963,0.7289603960396039,0.0,1146,1178,0,438
Node-Tier (Prob),0.09909090909090908,0.5920230639522726,0.5861892583120205,1.0,0.7391164135940108,0.5006188118811881,0.0,1146,809,0,807
Node-Tier (Prob),0.10898989898989898,0.5965058243214482,0.6208017334777898,1.0,0.766042780276031,0.43316831683168316,0.0,1146,700,0,916
Node-Tier (Prob),0.11888888888888888,0.6009885846906238,0.6286341195831048,1.0,0.7719770961915412,0.4189356435643564,0.0,1146,677,0,939
Node-Tier (Prob),0.12878787878787878,0.6054713450597994,0.6327995582551077,1.0,0.7751099082165288,0.411509900990099,0.0,1146,665,0,951
Node-Tier (Prob),0.1386868686868687,0.609954105428975,0.6359600443951166,1.0,0.7774762546129538,0.40594059405940597,0.0,1146,656,0,960
Node-Tier (Prob),0.1485858585858586,0.6144368657981507,0.6387959866220736,1.0,0.7795918362589838,0.400990099009901,0.0,1146,648,0,968
Node-Tier (Prob),0.15848484848484848,0.6189196261673262,0.6416573348264277,1.0,0.7817189626888982,0.39603960396039606,0.0,1146,640,0,976
Node-Tier (Prob),0.16838383838383839,0.6234023865365019,0.6452702702702703,1.0,0.7843942500365899,0.38985148514851486,0.0,1146,630,0,986
Node-Tier (Prob),0.1782828282828283,0.6278851469056775,0.6489241223103058,1.0,0.7870879116105778,0.38366336633663367,0.0,1146,620,0,996
Node-Tier (Prob),0.18818181818181817,0.6323679072748531,0.6503972758229285,1.0,0.7881705634839214,0.3811881188118812,0.0,1146,616,0,1000
Node-Tier (Prob),0.19808080808080808,0.6368506676440288,0.6511363636363636,1.0,0.7887130070928647,0.37995049504950495,0.0,1146,614,0,1002
Node-Tier (Prob),0.207979797979798,0.6413334280132044,0.6533637400228051,1.0,0.7903448271081845,0.37623762376237624,0.0,1146,608,0,1008
Node-Tier (Prob),0.21787878787878787,0.64581618838238,0.6544831524842947,1.0,0.791163271872514,0.3743811881188119,0.0,1146,605,0,1011
Node-Tier (Prob),0.22777777777777777,0.6502989487515556,0.6544831524842947,1.0,0.791163271872514,0.3743811881188119,0.0,1146,605,0,1011
Node-Tier (Prob),0.23767676767676768,0.6547817091207312,0.6552315608919382,1.0,0.7917098440812778,0.37314356435643564,0.0,1146,603,0,1013
Node-Tier (Prob),0.24757575757575756,0.6592644694899068,0.6552315608919382,1.0,0.7917098440812778,0.37314356435643564,0.0,1146,603,0,1013
Node-Tier (Prob),0.25747474747474747,0.6637472298590824,0.6556064073226545,1.0,0.7919834134815525,0.3725247524752475,0.0,1146,602,0,1014
Node-Tier (Prob),0.2673737373737374,0.668229990228258,0.6563573883161512,1.0,0.7925311198534719,0.3712871287128713,0.0,1146,600,0,1016
Node-Tier (Prob),0.2772727272727273,0.6727127505974336,0.6582423894313613,1.0,0.7939037057907217,0.3681930693069307,0.0,1146,595,0,1021
Node-Tier (Prob),0.2871717171717172,0.6771955109666092,0.6589994249568718,1.0,0.7944540723114192,0.36695544554455445,0.0,1146,593,0,1023
Node-Tier (Prob),0.29707070707070704,0.6816782713357848,0.6597582037996546,1.0,0.795005202434643,0.3657178217821782,0.0,1146,591,0,1025
Node-Tier (Prob),0.30696969696969695,0.6861610317049605,0.6616628175519631,1.0,0.796386378950889,0.3626237623762376,0.0,1146,586,0,1030
Node-Tier (Prob),0.31686868686868686,0.6906437920741361,0.6635784597568037,1.0,0.7977723629036712,0.359529702970297,0.0,1146,581,0,1035
Node-Tier (Prob),0.32676767676767676,0.6951265524433117,0.665118978525827,1.0,0.7988846283107429,0.35705445544554454,0.0,1146,577,0,1039
Node-Tier (Prob),0.33666666666666667,0.6996093128124873,0.6666666666666666,1.0,0.79999999952,0.35457920792079206,0.0,1146,573,0,1043
Node-Tier (Prob),0.3465656565656566,0.7040920731816629,0.6678321678321678,1.0,0.8008385739433126,0.3527227722772277,0.0,1146,570,0,1046
Node-Tier (Prob),0.3564646464646465,0.7085748335508385,0.6709601873536299,1.0,0.803083391250292,0.34777227722772275,0.0,1146,562,0,1054
Node-Tier (Prob),0.36636363636363634,0.7130575939200141,0.671353251318102,1.0,0.803364878593991,0.34715346534653463,0.0,1146,561,0,1055
Node-Tier (Prob),0.37626262626262624,0.7175403542891897,0.673721340388007,1.0,0.8050579552618883,0.34344059405940597,0.0,1146,555,0,1061
Node-Tier (Prob),0.38616161616161615,0.7220231146583653,0.6745144202472042,1.0,0.8056239011006133,0.34220297029702973,0.0,1146,553,0,1063
Node-Tier (Prob),0.39606060606060606,0.7265058750275409,0.6753093694755451,1.0,0.8061906432050279,0.3409653465346535,0.0,1146,551,0,1065
Node-Tier (Prob),0.40595959595959596,0.7309886353967165,0.6757075471698113,1.0,0.8064743133822024,0.34034653465346537,0.0,1146,550,0,1066
Node-Tier (Prob),0.41585858585858587,0.7354713957658922,0.6777054997043169,1.0,0.8078956639527135,0.3372524752475248,0.0,1146,545,0,1071
Node-Tier (Prob),0.4257575757575757,0.7399541561350678,0.6789099526066351,1.0,0.8087508816636657,0.3353960396039604,0.0,1146,542,0,1074
Node-Tier (Prob),0.43565656565656563,0.7444369165042434,0.6797153024911032,1.0,0.8093220334164841,0.3341584158415842,0.0,1146,540,0,1076
Node-Tier (Prob),0.44555555555555554,0.748919676873419,0.6821428571428572,1.0,0.8110403392206129,0.33044554455445546,0.0,1146,534,0,1082
Node-Tier (Prob),0.45545454545454545,0.7534024372425946,0.684997011356844,1.0,0.8130542740829231,0.3261138613861386,0.0,1146,527,0,1089
Node-Tier (Prob),0.46535353535353535,0.7578851976117702,0.6866387058118634,1.0,0.814209590991504,0.32363861386138615,0.0,1146,523,0,1093
Node-Tier (Prob),0.47525252525252526,0.7623679579809459,0.687875150060024,1.0,0.8150782356479657,0.3217821782178218,0.0,1146,520,0,1096
Node-Tier (Prob),0.4851515151515151,0.7668507183501214,0.6899458157736303,1.0,0.8165301028299763,0.3186881188118812,0.0,1146,515,0,1101
Node-Tier (Prob),0.495050505050505,0.771333478719297,0.6916113458056729,1.0,0.8176953259525789,0.3162128712871287,0.0,1146,511,0,1105
Node-Tier (Prob),0.5049494949494949,0.7758162390884726,0.6928657799274486,1.0,0.8185714280878866,0.31435643564356436,0.0,1146,508,0,1108
Node-Tier (Prob),0.5148484848484849,0.7802989994576484,0.6953883495145631,1.0,0.8203292765383312,0.31064356435643564,0.0,1146,502,0,1114
Node-Tier (Prob),0.5247474747474747,0.7847817598268239,0.6966565349544073,1.0,0.8212110349871399,0.3087871287128713,0.0,1146,499,0,1117
Node-Tier (Prob),0.5346464646464646,0.7892645201959996,0.6966565349544073,1.0,0.8212110349871399,0.3087871287128713,0.0,1146,499,0,1117
Node-Tier (Prob),0.5445454545454546,0.7937472805651752,0.6979293544457978,1.0,0.8220946910509758,0.3069306930693069,0.0,1146,496,0,1120
Node-Tier (Prob),0.5544444444444444,0.7982300409343508,0.7009174311926606,1.0,0.8241639693104968,0.3025990099009901,0.0,1146,489,0,1127
Node-Tier (Prob),0.5643434343434344,0.8027128013035264,0.7026364193746168,1.0,0.8253510978227773,0.3001237623762376,0.0,1146,485,0,1131
Node-Tier (Prob),0.5742424242424242,0.807195561672702,0.7043638598647818,1.0,0.826541651155866,0.29764851485148514,0.0,1146,481,0,1135
Node-Tier (Prob),0.5841414141414141,0.8116783220418775,0.7065351418002466,1.0,0.8280346815957108,0.29455445544554454,0.0,1146,476,0,1140
Node-Tier (Prob),0.594040404040404,0.8161610824110532,0.7100371747211895,1.0,0.8304347821230718,0.2896039603960396,0.0,1146,468,0,1148
